Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,100,India,196,Seychelles,5910,Export Quantity,15,Wheat,2017,2017,tonnes,155,,Official data
TM,Detailed trade matrix,100,India,196,Seychelles,5910,Export Quantity,15,Wheat,2018,2018,tonnes,254,,Official data
TM,Detailed trade matrix,100,India,196,Seychelles,5910,Export Quantity,15,Wheat,2019,2019,tonnes,236,,Official data
TM,Detailed trade matrix,100,India,196,Seychelles,5910,Export Quantity,15,Wheat,2020,2020,tonnes,206,,Official data
TM,Detailed trade matrix,100,India,197,Sierra Leone,5910,Export Quantity,15,Wheat,2016,2016,tonnes,0,,Official data
TM,Detailed trade matrix,100,India,197,Sierra Leone,5910,Export Quantity,15,Wheat,2017,2017,tonnes,3,,Official data
TM,Detailed trade matrix,100,India,197,Sierra Leone,5910,Export Quantity,15,Wheat,2018,2018,tonnes,21,,Official data
TM,Detailed trade matrix,100,India,197,Sierra Leone,5910,Export Quantity,15,Wheat,2019,2019,tonnes,25,,Official data
TM,Detailed trade matrix,100,India,197,Sierra Leone,5910,Export Quantity,15,Wheat,2020,2020,tonnes,18,,Official data
TM,Detailed trade matrix,100,India,200,Singapore,5910,Export Quantity,15,Wheat,2016,2016,tonnes,41,,Official data
TM,Detailed trade matrix,100,India,200,Singapore,5910,Export Quantity,15,Wheat,2017,2017,tonnes,30,,Official data
TM,Detailed trade matrix,100,India,200,Singapore,5910,Export Quantity,15,Wheat,2018,2018,tonnes,21,,Official data
TM,Detailed trade matrix,100,India,200,Singapore,5910,Export Quantity,15,Wheat,2019,2019,tonnes,33,,Official data
TM,Detailed trade matrix,100,India,200,Singapore,5910,Export Quantity,15,Wheat,2020,2020,tonnes,51,,Official data
TM,Detailed trade matrix,100,India,201,Somalia,5910,Export Quantity,15,Wheat,2016,2016,tonnes,2381,,Official data
TM,Detailed trade matrix,100,India,201,Somalia,5910,Export Quantity,15,Wheat,2017,2017,tonnes,4405,,Official data
TM,Detailed trade matrix,100,India,201,Somalia,5910,Export Quantity,15,Wheat,2018,2018,tonnes,4518,,Official data
